	cnt	date	day_of_week
0	68	1	3
1	36	2	4
2	5565	3	5
3	4966	4	6
4	3346	5	7
5	3396	6	1
6	4146	7	2
7	3096	8	3
8	2713	9	4
9	2409	10	5
10	275	11	6
11	2735	12	1
12	2386	13	2
13	1901	14	3
14	6072	15	4
15	2716	16	5
16	216	17	6
17	22	18	7
18	3903	19	1
19	2700	20	2
20	2700	21	3
21	2073	22	4
22	1702	23	5
23	231	24	6
24	3377	25	1
25	3016	26	2
26	2586	27	3
27	1652	28	4
28	2726	29	5
29	279	30	6
30	23	31	7
31	4094	32	1
32	4059	33	2
33	3741	34	3
34	2567	35	4
35	761	36	5
36	19	37	4
37	13	38	5
38	2847	39	6
39	2936	40	7
40	2377	41	1
41	1740	42	2
42	2563	43	3
43	1896	44	4
44	1552	45	5
45	186	46	6
46	1874	47	1
47	1844	48	2
48	1919	49	3
49	1191	50	4
50	1816	51	5
51	87	52	6
52	1843	53	1
53	1900	54	2
54	1615	55	3
55	1461	56	4
56	1514	57	5
57	180	58	6
58	41	59	7
59	1933	60	1
60	1812	61	2
61	1763	62	3
62	1386	63	4
63	1345	64	5
64	113	65	6
65	1797	66	1
66	1889	67	2
67	1445	68	3
68	1452	69	4
69	1559	70	5
70	198	71	6
71	1739	72	1
72	1794	73	2
73	1464	74	3
74	1279	75	4
75	1601	76	5
76	171	77	6
77	22	78	7
78	744	79	1
79	2424	80	2
80	1959	81	3
81	60	82	4
82	51	83	5
83	30	84	6
84	1929	85	7
85	1745	86	1
86	2143	87	2
87	1709	88	3
88	1294	89	4
89	1527	90	5
90	198	91	6
91	2164	92	1
92	1631	93	2
93	1859	94	3
94	1447	95	4
95	1514	96	5
96	137	97	6
97	36	98	7
98	2104	99	1
99	1584	100	2
100	1449	101	3
101	1102	102	4
102	1774	103	5
103	1462	104	6
104	1626	105	7
105	73	106	1
106	2484	107	4
107	1723	108	5
108	104	109	6
109	2427	110	1
110	2587	111	2
111	2220	112	3
112	1142	113	4
113	1934	114	5
114	121	115	6
115	23	116	7
116	2509	117	1
117	2284	118	2
118	2068	119	3
119	1088	120	4
120	2030	121	5
121	38	122	6
122	1940	123	1
123	2342	124	2
124	5581	125	3
125	2333	126	4
126	1931	127	5
127	140	128	6
128	1794	129	1
129	2055	130	2
130	1658	131	3
131	1497	132	4
132	1161	133	5
133	113	134	6
134	14	135	7
135	2374	136	1
136	1885	137	2
137	1606	138	3
138	1690	139	4
139	1354	140	5
140	1266	141	6
141	1309	142	7
142	89	143	1
143	2265	144	4
144	1721	145	5
145	150	146	6
146	26	147	7
147	1612	148	1
148	2178	149	2
149	1539	150	3
150	1067	151	4
151	1325	152	5
152	85	153	6
153	36	154	7
154	1778	155	1
155	2336	156	2
156	1487	157	3
157	1025	158	4
158	1659	159	5
159	183	160	6
160	1819	161	1
161	1781	162	2
162	1924	163	3
163	1256	164	4
164	1526	165	5
165	108	166	6
166	14	167	7
167	1804	168	1
168	1615	169	2
169	1558	170	3
170	810	171	4
171	1603	172	5
172	94	173	6
173	23	174	7
174	2141	175	1
175	1759	176	2
176	1506	177	3
177	1271	178	4
178	1633	179	5
179	154	180	6
180	14	181	7
181	2028	182	1
182	2033	183	2
183	1346	184	3
184	1031	185	4
185	1290	186	5
186	42	187	6
187	1961	188	1
188	1751	189	2
189	1505	190	3
190	1477	191	4
191	1892	192	5
192	81	193	6
193	2100	194	1
194	1905	195	2
195	1682	196	3
196	1370	197	4
197	985	198	5
198	27	199	6
199	1804	200	1
200	1760	201	2
201	1951	202	3
202	1058	203	4
203	1150	204	5
204	363	205	6
205	2765	206	1
206	2281	207	2
207	1064	208	3
208	1438	209	4
209	1698	210	5
210	122	211	6
211	14	212	7
212	2106	213	1
213	1811	214	2
214	1751	215	3
215	1433	216	4
216	1034	217	5
217	73	218	6
218	26	219	7
219	1775	220	1
220	2032	221	2
221	1607	222	3
222	861	223	4
223	1534	224	5
224	371	225	6
225	1794	226	1
226	1965	227	2
227	1408	228	3
228	1762	229	4
229	1329	230	5
230	188	231	6
231	2288	232	1
232	1900	233	2
233	2101	234	3
234	48	235	4
235	13	236	5
236	2933	237	7
237	2330	238	1
238	2483	239	2
239	1949	240	3
240	1898	241	4
241	2025	242	5
242	243	243	6
243	2876	244	7
244	2172	245	1
245	117	246	3
246	17	247	5
247	16	248	6
248	19	249	7
249	4723	250	2
250	2681	251	3
251	1876	252	4
252	1339	253	5
253	1414	254	6
254	19	255	7
255	2250	256	1
256	2669	257	2
257	2540	258	3
258	997	259	4
259	1808	260	5
260	171	261	6
261	1909	262	1
262	2541	263	2
263	1722	264	3
264	1606	265	4
265	1664	266	5
266	192	267	6
267	2436	268	1
268	2077	269	2
269	1789	270	3
270	1321	271	4
271	1714	272	5
272	129	273	6
273	2059	274	1
274	1849	275	2
